epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,20049.5,0.95801,0.63228,1.08271,0.89902,0.79407,0.86712,0.63094,1.17256,0.74911,1.24081,0.00546123,0.00546123,0.00546123
151,20180.1,0.96244,0.63627,1.0871,0.89879,0.79366,0.86633,0.6313,1.17174,0.7495,1.2404,0.00543077,0.00543077,0.00543077
152,20322.9,0.95706,0.63637,1.08228,0.88999,0.8005,0.86676,0.63162,1.17108,0.74783,1.24002,0.00540031,0.00540031,0.00540031
153,20454.7,0.95591,0.62787,1.08374,0.89928,0.79407,0.86682,0.63231,1.16973,0.74828,1.23942,0.00536985,0.00536985,0.00536985
154,20586.1,0.9617,0.63929,1.08558,0.88897,0.8012,0.86696,0.63227,1.16891,0.74833,1.23938,0.00533938,0.00533938,0.00533938
155,20729.5,0.94801,0.62438,1.07956,0.889,0.80143,0.86681,0.6328,1.16859,0.74847,1.23965,0.00530892,0.00530892,0.00530892
156,20861.2,0.95577,0.63757,1.08359,0.88895,0.80278,0.86721,0.6333,1.16777,0.74838,1.23915,0.00527846,0.00527846,0.00527846
157,20992.9,0.94777,0.63076,1.08031,0.88937,0.80276,0.86721,0.63339,1.1672,0.74821,1.23929,0.005248,0.005248,0.005248
158,21125.5,0.94759,0.62849,1.07795,0.88705,0.80366,0.86751,0.63412,1.16694,0.74856,1.23961,0.00521754,0.00521754,0.00521754
159,21265.7,0.9495,0.62409,1.07794,0.89822,0.79456,0.86728,0.63394,1.16639,0.74865,1.23964,0.00518708,0.00518708,0.00518708
160,21396.3,0.94573,0.62532,1.07502,0.89836,0.79388,0.8674,0.6343,1.16598,0.74804,1.23971,0.00515662,0.00515662,0.00515662
161,21526.8,0.94119,0.62061,1.07891,0.89842,0.79433,0.86768,0.63479,1.16568,0.74756,1.23989,0.00512615,0.00512615,0.00512615
