epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,14285,1.14196,0.79431,1.18178,0.87374,0.77269,0.85155,0.58232,1.27602,0.8192,1.27878,0.00521754,0.00521754,0.00521754
159,14381.5,1.13868,0.79154,1.17653,0.87359,0.77314,0.85217,0.58293,1.27546,0.81866,1.27853,0.00518708,0.00518708,0.00518708
160,14478,1.14491,0.79201,1.1759,0.8744,0.77269,0.8519,0.5838,1.27489,0.81783,1.27807,0.00515662,0.00515662,0.00515662
161,14581.2,1.13756,0.79285,1.1795,0.87437,0.77403,0.85189,0.58448,1.27395,0.81771,1.27725,0.00512615,0.00512615,0.00512615
162,14774.7,1.13472,0.78797,1.17457,0.87576,0.7729,0.85199,0.58446,1.273,0.81738,1.27653,0.00509569,0.00509569,0.00509569
163,14968.5,1.12599,0.78004,1.17014,0.87178,0.77584,0.85181,0.58502,1.27255,0.81668,1.27606,0.00506523,0.00506523,0.00506523
164,15161.7,1.13235,0.79135,1.17426,0.87281,0.7754,0.85148,0.58523,1.27191,0.81605,1.27553,0.00503477,0.00503477,0.00503477
165,15370.1,1.12898,0.78332,1.16939,0.875,0.77557,0.85184,0.58585,1.27121,0.81495,1.27545,0.00500431,0.00500431,0.00500431
166,15565,1.13628,0.78492,1.17367,0.87515,0.77669,0.85256,0.58701,1.27026,0.81477,1.27458,0.00497385,0.00497385,0.00497385
167,15773.2,1.13203,0.78146,1.16864,0.87529,0.7774,0.85267,0.58745,1.26925,0.81381,1.27391,0.00494338,0.00494338,0.00494338
168,15968.5,1.12782,0.77673,1.16941,0.87495,0.77808,0.85292,0.58805,1.26865,0.81287,1.27368,0.00491292,0.00491292,0.00491292
169,16175.3,1.1255,0.77393,1.16608,0.87626,0.77847,0.85346,0.58848,1.26787,0.81237,1.27355,0.00488246,0.00488246,0.00488246
170,16369.6,1.1273,0.78142,1.16769,0.88009,0.77537,0.85339,0.58858,1.26751,0.8119,1.27305,0.004852,0.004852,0.004852
171,16562.1,1.11681,0.76755,1.16038,0.87999,0.77647,0.85384,0.58892,1.26653,0.81125,1.27273,0.00482154,0.00482154,0.00482154
172,16765.6,1.11835,0.76834,1.16109,0.87938,0.77691,0.85393,0.58935,1.26644,0.81081,1.27319,0.00479108,0.00479108,0.00479108
173,16958.1,1.11647,0.76917,1.15894,0.88066,0.77647,0.85394,0.58959,1.26571,0.81032,1.27263,0.00476062,0.00476062,0.00476062
174,17165,1.11423,0.76808,1.16351,0.88162,0.77513,0.85407,0.5899,1.2655,0.81013,1.27232,0.00473015,0.00473015,0.00473015
175,17362.6,1.1114,0.76104,1.15504,0.88202,0.77557,0.85406,0.59009,1.26511,0.80971,1.27243,0.00469969,0.00469969,0.00469969
176,17577.2,1.11541,0.76595,1.15917,0.88187,0.77535,0.85426,0.59078,1.26437,0.80928,1.27188,0.00466923,0.00466923,0.00466923
177,17774,1.11292,0.76677,1.15732,0.88126,0.77401,0.85406,0.59076,1.26374,0.80933,1.27142,0.00463877,0.00463877,0.00463877
178,17970,1.10438,0.76158,1.1541,0.8814,0.77513,0.85448,0.59094,1.26247,0.80848,1.27054,0.00460831,0.00460831,0.00460831
